SPAN;91061278700010;910612787;62.02A;;;31462
FACTOVIA;91058792200014;910587922;62.02A;;;69381
SYKA TEAM SYNERGIE;91007984700018;910079847;62.02A;;;92004
IT FOUACHE;90998892500014;909988925;62.02A;;;59017
NEOCTIS;90949794300011;909497943;62.02A;;;59452
LOGICINIT;90944089300016;909440893;62.02A;;;75111
JD-IT SERVICES;90943206400014;909432064;62.02A;;;93049
IATEAM;90899773700014;908997737;62.02A;;;94022
;90888999100018;908889991;62.02A;;;69285
KELLY SCHROEYERS;90883982200016;908839822;62.02A;;;33012
AKD;90870228500010;908702285;62.02A;;;75112
ITOX;90858713200014;908587132;62.02A;;;34192
NATUR-ADD;90831834800012;908318348;62.02A;;;75114
COACH CHRIS;90152107000010;901521070;62.02A;;;94058
THOTH;90090214900013;900902149;62.02A;;;57463
AVA NETWORKING;90072936900018;900729369;62.02A;;;94081
AMSN CONSULTING;90026551300011;900265513;62.02A;;;95018
AIRUN;89501896800019;895018968;62.02A;;;92073
;89288497400015;892884974;62.02A;;;75120
;89153279800016;891532798;62.02A;;;77169
CDYCO;89122517900011;891225179;62.02A;;;78646
;89109507700014;891095077;62.02A;;;75119
BARGY CONSULTING;88975358800025;889753588;62.02A;;;97415
PLOP CONSULTING;88883955200013;888839552;62.02A;;;59163
ALTAMONTO TECHNOLOGIES;88869050000010;888690500;62.02A;;;75116
SOFTOUCAN;88772002700010;887720027;62.02A;;;75113
F. CODED;88234083900019;882340839;62.02A;;;92004
DATAVALO;88137098500015;881370985;62.02A;;;37273
MAS SOLUTIONS;88121527100019;881215271;62.02A;;;97210
DATA AND KO;88061333600010;880613336;62.02A;;;94028
RAKTEL;87957975300010;879579753;62.02A;;;59512
PULLPUSH;87854997100017;878549971;62.02A;;;13207
KALDEIRA;87774266800016;877742668;62.02A;;;75115
NEXTWAVE IT;87764085400015;877640854;62.02A;;;78005
UNISKIP GROUP;85208357500047;852083575;62.02A;;;75102
ITWILL;84961615600014;849616156;62.02A;;;13213
IRO;84802699300016;848026993;62.02A;2019;01;40317
SYRTALS COMPLIANCE;84780470500014;847804705;62.02A;2019;02;92048
WISER SOFTWARE;84362692000014;843626920;62.02A;2019;01;59599
VAULTERA LIMITED;84294652700012;842946527;62.02A;;;
YUNO CONSULTING;84162498400024;841624984;62.02A;;;59512
BYTEKODE;84135296600011;841352966;62.02A;2019;00;75112
JKAP;84123695300011;841236953;62.02A;;;91645
;84121980100021;841219801;62.02A;;;92020
